Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22312,Shampoo Planet,Douglas Coupland,"Coupland, Douglas",,"=""0743231538""","=""9780743231534""",3,3.51,Scribner,Kindle Edition,282,2002,1992,,2011/03/13,,,read,,,,1,0
690866,The Hundred Secret Senses,Amy Tan,"Tan, Amy",,"=""080411109X""","=""9780804111096""",3,4.00,Ivy Books,Mass Market Paperback,406,1996,1995,,2011/03/13,,,read,,,,1,0
7763,The Joy Luck Club,Amy Tan,"Tan, Amy",,"=""""","=""""",4,3.97,Penguin (Non-Classics),Paperback,288,2006,1989,,2011/03/13,,,read,,,,1,0
32807,"Trojan Odyssey (Dirk Pitt, #17)",Clive Cussler,"Cussler, Clive",,"=""0425199320""","=""9780425199329""",3,3.97,G.P. Putnam's Sons,Mass Market Paperback,463,2004,2003,,2011/03/13,,,read,,,,1,0
456,Leviathan,Paul Auster,"Auster, Paul",,"=""0140178139""","=""9780140178135""",3,3.97,Penguin Publishing Group,Paperback,275,1993,1992,,2011/03/13,,,read,,,,1,0
50615,The Invention of Solitude,Paul Auster,"Auster, Paul",,"=""0143112228""","=""9780143112228""",4,3.76,Penguin Publishing Group,Paperback,192,2007,1982,,2011/03/13,,,read,,,,1,0
447,Moon Palace,Paul Auster,"Auster, Paul",,"=""0140115854""","=""9780140115857""",5,3.98,Penguin Publishing Group,Paperback,320,1990,1989,,2011/03/13,,,read,,,,1,0
4961571,"Whispers of the Dead (David Hunter, #3)",Simon Beckett,"Beckett, Simon",,"=""0593055276""","=""9780593055274""",3,4.16,Bantam Press,Paperback,319,2010,2009,,2011/03/13,,,read,,,,1,0
1328721,"Written in Bone (David Hunter, #2)",Simon Beckett,"Beckett, Simon",,"=""0593055241""","=""9780593055243""",3,4.20,Bantam Press,Hardcover,352,2007,2007,,2011/03/13,,,read,,,,1,0
46465,"The Chemistry of Death (David Hunter, #1)",Simon Beckett,"Beckett, Simon",,"=""0385340044""","=""9780385340045""",3,4.18,Delacorte Press,Hardcover,313,2006,2006,,2011/03/13,,,read,,,,1,0
18431,The Rule of Four,Ian Caldwell,"Caldwell, Ian",Dustin Thomason,"=""0440241359""","=""9780440241355""",3,3.29,Dell Publishing Company,Mass Market Paperback,464,2005,2004,,2011/03/13,,,read,,,,1,0
